task,transfer_cluster,mode,seed,agent,agent_model,agent_effort,valid_run,invalid_reasons,analytical_eligible,analytical_ineligible_reasons,task_success,score,hidden_micro_score,score_binary,feature_lift,feature_passed,feature_total,agent_rc,agent_attempts,agent_transient_retries,hidden_passed,hidden_total,hidden_failed,regression_green,tests_added,existing_tests_modified,existing_tests_deleted,architecture_score,architecture_green,files_changed,insertions,deletions,files_read,time_to_first_relevant_file_sec,wall_sec,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,total_cost_usd,num_turns,agent_touched_tests,retrieval_backend,retrieval_fallback,injected_fact_ids,context_chars,context_tokens,retrieval_precision,retrieval_coverage,irrelevant_facts,memory_instance_id,memory_parent_instance_id,memory_session_instance_created,memory_clone_wall_sec,memory_clone_provider_calls,memory_retention_deleted_instance_id,memory_retention_wall_sec,memory_retention_provider_calls,memory_state_before,memory_state_after,memory_creates,memory_updates,memory_stale,memory_noop,memory_gotchas,memory_schema_changes,memory_read_wall_sec,memory_write_wall_sec,memory_read_provider_calls,memory_write_provider_calls,evolution_checkpoint,evolve_wall_sec,evolve_backend_wall_sec,evolve_output_tokens,harmful_on_worse_off,harmful_stale_fact_used,harmful_regression_after_retrieval
a4,config-api-auth,memory-on+evolve,1,claude,claude-sonnet-5,medium,True,,False,existing_tests_modified_or_deleted,False,0.6,0.6,0.0,0.6,3,5,0,1,0,3,5,2,True,0,1,0,1.0,True,3,79,1,,,330.5,117,23818,3193390,80711,1.7999039999999993,60,True,xmemory,False,fact:ac-0004;fact:ac-0001;fact:ac-0002;fact:iv-0002;fact:iv-0003;fact:iv-0001;fact:iv-0004,3457,865,0.429,1.0,4,a52c6dbb-d8dc-4e6b-a42d-060be929ed00,4b19cbc2-d82c-4cb5-acf6-bf313dac5543,True,34.5475,7,4b19cbc2-d82c-4cb5-acf6-bf313dac5543,0.797,1,4,5,2,0,0,0,1,0,2.9173,25.1096,3,5,after-a3-before-a4,101.732,22.859,5149,False,False,False
a4,config-api-auth,memory-on+evolve,2,claude,claude-sonnet-5,medium,True,,False,existing_tests_modified_or_deleted,False,0.4,0.4,0.0,0.4,2,5,0,1,0,2,5,3,True,0,1,0,0.5,False,2,115,11,,,380.0,125,25246,3288103,81349,1.8535899,63,True,xmemory,False,fact:ac-0004;fact:ac-0001;fact:ac-0002;fact:iv-0001;fact:iv-0002;fact:iv-0003;fact:iv-0004,3457,865,0.429,1.0,4,4f1b73d4-5390-4fa7-b887-9e910d3d56b9,50557cfe-c3ce-44b5-9135-b46209090bd0,True,35.1653,7,50557cfe-c3ce-44b5-9135-b46209090bd0,0.8034,1,4,5,2,0,0,0,1,0,2.904,31.2351,3,5,after-a3-before-a4,151.465,24.005,6017,False,False,False
a5,config-api-auth,memory-off,1,claude,claude-sonnet-5,medium,True,,True,,True,1.0,1.0,1.0,1.0,1,1,0,1,0,5,5,0,True,0,0,0,1.0,True,5,38,12,,,149.3,98,11659,1748570,48807,0.9934320000000002,52,False,,False,,0,0,,0.0,0,,,,,,,,,,,,,,,,,0.0,,,,,,,,False,False,False
a5,config-api-auth,memory-off,2,claude,claude-sonnet-5,medium,True,,False,existing_tests_modified_or_deleted,True,1.0,1.0,1.0,1.0,1,1,0,1,0,5,5,0,True,0,1,0,1.0,True,6,31,12,,,180.6,90,11733,1659133,51874,0.9860938999999997,45,True,,False,,0,0,,0.0,0,,,,,,,,,,,,,,,,,0.0,,,,,,,,False,False,False
a5,config-api-auth,memory-on,1,claude,claude-sonnet-5,medium,True,,False,existing_tests_modified_or_deleted,True,1.0,1.0,1.0,1.0,1,1,0,1,0,5,5,0,True,0,1,0,1.0,True,6,33,10,,,188.9,107,15078,2065671,56502,1.1852042999999999,54,True,xmemory,False,fact:ac-0001;fact:ac-0002;fact:ac-0004;fact:cf-0001;fact:cf-0002;fact:cf-0003;fact:cf-0004;fact:cf-0005;fact:cf-0006,4714,1179,0.333,1.0,6,cca7bc87-190c-43c0-8c72-61acc0eff38d,7ab34a4a-7ddf-49f2-9d1f-ab783c3d0061,True,34.7015,7,7ab34a4a-7ddf-49f2-9d1f-ab783c3d0061,0.7725,1,4,5,2,0,0,0,1,0,14.2729,33.5555,3,5,,,,,False,False,False
a5,config-api-auth,memory-on,2,claude,claude-sonnet-5,medium,True,,False,existing_tests_modified_or_deleted,True,1.0,1.0,1.0,1.0,1,1,0,1,0,5,5,0,True,0,1,0,1.0,True,7,51,9,,,173.9,95,15162,2084962,63756,1.2357396000000003,48,True,xmemory,False,fact:ac-0001;fact:ac-0002;fact:ac-0004;fact:cf-0001;fact:cf-0002;fact:cf-0003;fact:cf-0004;fact:cf-0005;fact:cf-0006,4714,1179,0.333,1.0,6,ca21ade1-b19a-40fc-8586-193fbf74498b,6b3585bd-d9e7-41e1-8345-f72341e4a1bb,True,39.5935,7,6b3585bd-d9e7-41e1-8345-f72341e4a1bb,0.8349,1,4,5,2,0,0,0,1,0,2.9083,25.392,3,5,,,,,False,False,False
a5,config-api-auth,memory-on+evolve,1,claude,claude-sonnet-5,medium,True,,False,existing_tests_modified_or_deleted,True,1.0,1.0,1.0,1.0,1,1,0,1,0,5,5,0,True,0,1,0,1.0,True,6,56,18,,,200.8,115,16609,2345934,60405,1.3156902000000001,58,True,xmemory,False,fact:ac-0001;fact:ac-0002;fact:ac-0004;fact:cf-0002;fact:cf-0001;fact:cf-0006;fact:cf-0004;fact:cf-0003;fact:cf-0005,4714,1179,0.333,1.0,6,2d634f62-d4c9-46d3-ba66-122726fb63ad,a52c6dbb-d8dc-4e6b-a42d-060be929ed00,True,35.3694,7,a52c6dbb-d8dc-4e6b-a42d-060be929ed00,0.8149,1,5,6,2,0,0,0,1,0,11.856,25.49,3,5,after-a3-before-a4,101.732,22.859,5149,False,False,False
a5,config-api-auth,memory-on+evolve,2,claude,claude-sonnet-5,medium,True,,True,,True,1.0,1.0,1.0,1.0,1,1,0,1,0,5,5,0,True,0,0,0,1.0,True,5,30,12,,,161.0,79,11237,1482129,50620,0.9171506999999999,40,False,xmemory,False,fact:ac-0001;fact:ac-0002;fact:ac-0004;fact:cf-0006;fact:cf-0005;fact:cf-0001;fact:cf-0004;fact:cf-0003;fact:cf-0002,4714,1179,0.333,1.0,6,1bba5791-bc4d-4ac8-ae88-362110d3dbf5,4f1b73d4-5390-4fa7-b887-9e910d3d56b9,True,37.3034,7,4f1b73d4-5390-4fa7-b887-9e910d3d56b9,0.8109,1,5,6,2,0,0,0,1,0,3.0504,26.9174,3,5,after-a3-before-a4,151.465,24.005,6017,False,False,False
a6,data-repository-invariants,memory-off,1,claude,claude-sonnet-5,medium,True,,False,existing_tests_modified_or_deleted,False,0.333333,0.333,0.0,0.333333,3,9,0,1,0,3,9,6,True,0,3,0,1.0,True,11,228,3,,,495.6,198,41439,7117547,116658,3.4581630999999997,99,True,,False,,0,0,,0.0,0,,,,,,,,,,,,,,,,,0.0,,,,,,,,False,False,False
a6,data-repository-invariants,memory-off,2,claude,claude-sonnet-5,medium,True,,False,existing_tests_modified_or_deleted,False,0.333333,0.333,0.0,0.333333,3,9,0,2,1,3,9,6,True,1,2,0,1.0,True,17,436,8,,,2436.1,372,61962,14588665,208314,6.593995400000002,189,True,,False,,0,0,,0.0,0,,,,,,,,,,,,,,,,,0.0,,,,,,,,False,False,False
a6,data-repository-invariants,memory-on,1,claude,claude-sonnet-5,medium,True,,False,regression_red;existing_tests_modified_or_deleted,False,0.111111,0.111,0.0,0.111111,1,9,0,1,0,1,9,8,False,1,1,0,1.0,True,15,402,7,,,570.9,243,47369,10743627,140964,4.7801361,126,True,xmemory,False,fact:ac-0002;fact:ac-0001;fact:ac-0004;fact:do-0004;fact:do-0002;fact:do-0003;fact:do-0001;fact:do-0005;fact:do-0006,4512,1128,0.444,1.0,5,a454d66c-7f7b-4e40-b014-6ef2e66345db,cca7bc87-190c-43c0-8c72-61acc0eff38d,True,34.5663,7,cca7bc87-190c-43c0-8c72-61acc0eff38d,0.8252,1,5,6,3,0,0,0,1,0,12.3809,26.5001,3,5,,,,,True,False,True
a6,data-repository-invariants,memory-on,2,claude,claude-sonnet-5,medium,True,,False,existing_tests_modified_or_deleted,False,0.333333,0.333,0.0,0.333333,3,9,0,1,0,3,9,6,True,2,1,0,1.0,True,17,369,5,,,725.6,297,64337,14933989,162286,6.419858699999999,149,True,xmemory,False,fact:ac-0001;fact:ac-0002;fact:ac-0004;fact:do-0001;fact:do-0002;fact:do-0003;fact:do-0004;fact:do-0006,3811,953,0.5,1.0,4,076bd69c-ed40-4335-84cb-760521f40f9f,ca21ade1-b19a-40fc-8586-193fbf74498b,True,41.4003,7,ca21ade1-b19a-40fc-8586-193fbf74498b,0.7968,1,5,6,3,0,0,0,1,0,16.5717,26.3756,3,5,,,,,False,False,False
a6,data-repository-invariants,memory-on+evolve,1,claude,claude-sonnet-5,medium,True,,False,existing_tests_modified_or_deleted,False,0.333333,0.333,0.0,0.333333,3,9,0,1,0,3,9,6,True,1,1,0,1.0,True,16,488,7,,,605.8,263,53561,12093782,151014,5.338422599999998,132,True,xmemory,False,fact:ac-0002;fact:ac-0001;fact:ac-0004;fact:do-0002;fact:do-0003;fact:do-0004;fact:do-0001;fact:do-0006,3811,953,0.5,1.0,4,671232f0-1bb0-47bb-a4bc-b37e0da852ca,2d634f62-d4c9-46d3-ba66-122726fb63ad,True,38.3099,7,2d634f62-d4c9-46d3-ba66-122726fb63ad,0.8309,1,6,7,2,0,0,0,1,0,17.4687,32.9199,3,5,after-a3-before-a4,101.732,22.859,5149,False,False,False
a6,data-repository-invariants,memory-on+evolve,2,claude,claude-sonnet-5,medium,True,,False,existing_tests_modified_or_deleted,False,0.333333,0.333,0.0,0.333333,3,9,0,1,0,3,9,6,True,0,3,0,1.0,True,11,262,12,,,836.6,265,57397,11479297,144120,5.170259100000002,144,True,xmemory,False,fact:ac-0002;fact:ac-0001;fact:ac-0004;fact:do-0001;fact:do-0006;fact:do-0003;fact:do-0002;fact:do-0004,3811,953,0.5,1.0,4,700fc47d-32c7-4915-a4ba-bc8946fd09fb,1bba5791-bc4d-4ac8-ae88-362110d3dbf5,True,49.038,7,1bba5791-bc4d-4ac8-ae88-362110d3dbf5,0.8135,1,6,7,3,0,0,0,1,0,11.5591,26.3341,3,5,after-a3-before-a4,151.465,24.005,6017,False,False,False
